GO,Cluster,Function
GO:0035239,23,P:tube morphogenesis
GO:1904401,12,P:cellular response to Thyroid stimulating hormone
GO:0150115,23,P:cell-substrate junction organization
GO:0046031,4,P:ADP metabolic process
GO:0071247,12,P:cellular response to chromate
GO:1904710,14,P:positive regulation of granulosa cell apoptotic process
GO:1902220,13,P:positive regulation of intrinsic apoptotic signaling pathway in response to osmotic stress
GO:1901423,23,P:response to benzene
GO:0002508,35,P:central tolerance induction
GO:0072016,22,P:glomerular parietal epithelial cell development
GO:0002897,35,P:positive regulation of central B cell tolerance induction
GO:0034127,45,P:regulation of MyD88-independent toll-like receptor signaling pathway
GO:1904353,23,P:regulation of telomere capping
GO:0071266,17,P:'de novo' L-methionine biosynthetic process
GO:0006577,4,P:amino-acid betaine metabolic process
GO:0050666,4,P:regulation of homocysteine metabolic process
GO:0071654,42,P:positive regulation of chemokine (C-C motif) ligand 1 production
GO:1901003,39,P:negative regulation of fermentation
GO:0009398,17,P:FMN biosynthetic process
GO:0009231,17,P:riboflavin biosynthetic process
GO:1901233,39,P:negative regulation of convergent extension involved in axis elongation
GO:1901231,13,P:positive regulation of non-canonical Wnt signaling pathway via JNK cascade
GO:2000639,13,P:negative regulation of SREBP signaling pathway
GO:0035872,45,"P:nucleotide-binding domain, leucine rich repeat containing receptor signaling pathway"
GO:2000374,4,P:regulation of oxygen metabolic process
GO:0015790,20,P:UDP-xylose transmembrane transport
GO:0106047,23,P:polyamine deacetylation
GO:0106048,23,P:spermidine deacetylation
GO:0090615,23,P:mitochondrial mRNA processing
GO:0005996,4,P:monosaccharide metabolic process
GO:0030309,4,P:poly-N-acetyllactosamine metabolic process
GO:0035780,17,P:CD80 biosynthetic process
GO:0036085,23,P:GDP-fucose import into Golgi lumen
GO:0072703,12,P:cellular response to methyl methanesulfonate
GO:0034203,23,P:glycolipid translocation
GO:0060381,42,P:positive regulation of single-stranded telomeric DNA binding
GO:0035282,23,P:segmentation
GO:1901148,23,P:gene expression involved in extracellular matrix organization
GO:0031651,39,P:negative regulation of heat generation
GO:1900477,21,P:negative regulation of G1/S transition of mitotic cell cycle by negative regulation of transcription from RNA polymerase II promoter
GO:0048264,23,P:determination of ventral identity
GO:1904744,42,P:positive regulation of telomeric DNA binding
GO:0019321,4,P:pentose metabolic process
GO:0035801,23,P:adrenal cortex development
GO:0070247,14,P:regulation of natural killer cell apoptotic process
GO:0090177,23,P:establishment of planar polarity involved in neural tube closure
GO:0046588,41,P:negative regulation of calcium-dependent cell-cell adhesion
GO:0035863,11,P:dITP catabolic process
GO:0016077,11,P:sno(s)RNA catabolic process
GO:0071951,23,P:conversion of methionyl-tRNA to N-formyl-methionyl-tRNA
GO:0010879,23,P:cholesterol transport involved in cholesterol storage
GO:1904983,23,P:glycine import into mitochondrion
GO:0033045,23,P:regulation of sister chromatid segregation
GO:1903850,23,P:regulation of cristae formation
GO:0051658,23,P:maintenance of nucleus location
GO:1902424,39,P:negative regulation of attachment of mitotic spindle microtubules to kinetochore
GO:2000655,12,P:negative regulation of cellular response to testosterone stimulus
GO:1900113,38,P:negative regulation of histone H3-K9 trimethylation
GO:0034391,14,P:regulation of smooth muscle cell apoptotic process
GO:0070130,36,P:negative regulation of mitochondrial translation
GO:0090071,39,P:negative regulation of ribosome biogenesis
GO:0044779,23,P:meiotic spindle checkpoint signaling
GO:0046204,4,P:nor-spermidine metabolic process
GO:0032920,23,P:putrescine acetylation
GO:0032919,23,P:spermine acetylation
GO:0007225,23,P:patched ligand maturation
GO:1990700,23,P:nucleolar chromatin organization
GO:0032074,39,P:negative regulation of nuclease activity
GO:0048297,39,P:negative regulation of isotype switching to IgA isotypes
GO:0018142,23,P:protein-DNA covalent cross-linking
GO:1904902,43,P:ESCRT III complex assembly
GO:1900737,45,P:negative regulation of phospholipase C-activating G protein-coupled receptor signaling pathway
GO:1900276,23,P:regulation of proteinase activated receptor activity
GO:1905045,32,P:negative regulation of Schwann cell proliferation involved in axon regeneration
GO:0032361,11,P:pyridoxal phosphate catabolic process
GO:1905116,42,P:positive regulation of lateral attachment of mitotic spindle microtubules to kinetochore
GO:0007147,23,P:female meiosis II
GO:0060097,23,"P:cytoskeletal rearrangement involved in phagocytosis, engulfment"
GO:0034642,23,P:mitochondrion migration along actin filament
GO:0061185,39,P:negative regulation of dermatome development
GO:0016261,11,P:selenocysteine catabolic process
GO:1990758,23,P:mitotic sister chromatid biorientation
GO:0090085,27,P:regulation of protein deubiquitination
GO:0035932,23,P:aldosterone secretion
GO:0090389,23,P:phagosome-lysosome fusion involved in apoptotic cell clearance
GO:0033002,32,P:muscle cell proliferation
GO:0002756,45,P:MyD88-independent toll-like receptor signaling pathway
GO:0036166,23,P:phenotypic switching
GO:0001770,23,P:establishment of natural killer cell polarity
GO:1902349,23,P:response to chloroquine
GO:0097712,23,"P:vesicle targeting, trans-Golgi to periciliary membrane compartment"
GO:0071478,12,P:cellular response to radiation
GO:1905070,31,P:anterior visceral endoderm cell migration
GO:2000691,22,P:negative regulation of cardiac muscle cell myoblast differentiation
GO:0061865,23,P:polarized secretion of basement membrane proteins in epithelium
GO:0062237,8,P:protein localization to postsynapse
GO:0140450,23,P:protein targeting to Golgi apparatus
GO:0001178,48,P:regulation of transcriptional start site selection at RNA polymerase II promoter
GO:1990297,23,P:renal amino acid absorption
GO:0098829,23,P:intestinal folate absorption
GO:1904731,42,P:positive regulation of intestinal lipid absorption
GO:0030037,23,P:actin filament reorganization involved in cell cycle
GO:0097006,3,P:regulation of plasma lipoprotein particle levels
GO:0046491,4,P:L-methylmalonyl-CoA metabolic process
GO:0043012,49,P:regulation of fusion of sperm to egg plasma membrane
GO:2000380,23,P:regulation of mesoderm development
GO:0042748,23,"P:circadian sleep/wake cycle, non-REM sleep"
GO:0001680,23,P:tRNA 3'-terminal CCA addition
GO:1904290,19,P:negative regulation of mitotic DNA damage checkpoint
GO:1903841,12,P:cellular response to arsenite(3-)
GO:1903294,23,"P:regulation of glutamate secretion, neurotransmission"
GO:0006392,21,P:transcription elongation by mitochondrial RNA polymerase
GO:0097711,49,P:ciliary basal body-plasma membrane docking
GO:0099639,49,"P:neurotransmitter receptor transport, endosome to plasma membrane"
GO:0090326,42,P:positive regulation of locomotion involved in locomotory behavior
GO:2000331,23,P:regulation of terminal button organization
GO:0021831,23,P:embryonic olfactory bulb interneuron precursor migration
GO:0038185,45,P:intracellular bile acid receptor signaling pathway
GO:0001080,21,P:nitrogen catabolite activation of transcription from RNA polymerase II promoter
GO:2001250,42,P:positive regulation of ammonia assimilation cycle
GO:2000213,4,P:positive regulation of glutamate metabolic process
GO:1905695,17,P:positive regulation of phosphatidic acid biosynthetic process
GO:0034255,4,P:regulation of urea metabolic process
GO:1902855,23,P:regulation of non-motile cilium assembly
GO:0019440,11,P:tryptophan catabolic process to indole-3-acetate
GO:0009452,23,P:7-methylguanosine RNA capping
GO:0022613,23,P:ribonucleoprotein complex biogenesis
GO:0045175,8,P:basal protein localization
GO:1903302,40,P:regulation of pyruvate kinase activity
GO:0048327,9,P:axial mesodermal cell fate specification
GO:0060802,23,P:epiblast cell-extraembryonic ectoderm cell signaling involved in anterior/posterior axis specification
GO:0033505,23,P:floor plate morphogenesis
GO:0060460,18,P:left lung morphogenesis
GO:0010085,23,P:polarity specification of proximal/distal axis
GO:0090010,45,P:transforming growth factor beta receptor signaling pathway involved in primitive streak formation
GO:1904372,8,P:positive regulation of protein localization to actin cortical patch
GO:1903119,8,P:protein localization to actin cytoskeleton
GO:1990778,8,P:protein localization to cell periphery
GO:1904373,23,P:response to kainic acid
GO:1904386,23,P:response to L-phenylalanine derivative
GO:2001253,38,P:regulation of histone H3-K36 trimethylation
GO:0090239,38,P:regulation of histone H4 acetylation
GO:1901675,38,P:negative regulation of histone H3-K27 acetylation
GO:0051595,23,P:response to methylglyoxal
GO:1902607,39,P:negative regulation of large conductance calcium-activated potassium channel activity
GO:0045903,29,P:positive regulation of translational fidelity
GO:0035304,27,P:regulation of protein dephosphorylation
GO:0061300,23,P:cerebellum vasculature development
GO:0018191,16,P:peptidyl-serine octanoylation
GO:0051366,23,P:protein decanoylation
GO:0000160,23,P:phosphorelay signal transduction system
GO:0051545,1,P:negative regulation of elastin biosynthetic process
GO:0097210,23,P:response to gonadotropin-releasing hormone
GO:0018352,23,P:protein-pyridoxal-5-phosphate linkage
GO:0071244,12,P:cellular response to carbon dioxide
GO:0048894,23,P:efferent axon development in a lateral line nerve
GO:0021723,23,P:medullary reticular formation development
GO:0048486,23,P:parasympathetic nervous system development
GO:0061452,23,P:retrotrapezoid nucleus neuron differentiation
GO:1990113,21,P:RNA polymerase I assembly
GO:1990115,21,P:RNA polymerase III assembly
GO:0019478,11,P:D-amino acid catabolic process
GO:0140041,23,P:cellular detoxification of methylglyoxal
GO:0036471,12,P:cellular response to glyoxal
GO:0050787,23,P:detoxification of mercury ion
GO:0036531,23,P:glutathione deglycation
GO:0046295,17,P:glycolate biosynthetic process
GO:1903189,4,P:glyoxal metabolic process
GO:0106044,23,P:guanine deglycation
GO:0106046,23,"P:guanine deglycation, glyoxal removal"
GO:0106045,23,"P:guanine deglycation, methylglyoxal removal"
GO:0061727,11,P:methylglyoxal catabolic process to lactate
GO:1903073,43,P:negative regulation of death-inducing signaling complex assembly
GO:1903122,13,P:negative regulation of TRAIL-activated apoptotic signaling pathway
GO:0036527,23,P:peptidyl-arginine deglycation
GO:0036526,23,P:peptidyl-cysteine deglycation
GO:0036528,23,P:peptidyl-lysine deglycation
GO:1903197,17,P:positive regulation of L-dopa biosynthetic process
GO:1903200,42,P:positive regulation of L-dopa decarboxylase activity
GO:1903168,42,P:positive regulation of pyrroline-5-carboxylate reductase activity
GO:1903178,42,P:positive regulation of tyrosine 3-monooxygenase activity
GO:0036529,23,"P:protein deglycation, glyoxal removal"
GO:0036530,23,"P:protein deglycation, methylglyoxal removal"
GO:1902903,23,P:regulation of supramolecular fiber organization
GO:0071600,23,P:otic vesicle morphogenesis
GO:0030264,23,P:nuclear fragmentation involved in apoptotic nuclear change
GO:2000724,22,P:positive regulation of cardiac vascular smooth muscle cell differentiation
GO:0043132,23,P:NAD transport
GO:0051709,23,P:regulation of killing of cells of another organism
GO:0060980,31,P:cell migration involved in coronary vasculogenesis
GO:1903781,42,P:positive regulation of cardiac conduction
GO:0016259,4,P:selenocysteine metabolic process
GO:1903811,49,P:L-asparagine import across plasma membrane
GO:2000487,42,P:positive regulation of glutamine transport
GO:0022406,23,P:membrane docking
GO:0061881,42,P:positive regulation of anterograde axonal transport of mitochondrion
GO:0062173,4,P:brexanolone metabolic process
GO:0051050,42,P:positive regulation of transport
GO:0031441,39,P:negative regulation of mRNA 3'-end processing
GO:1904580,23,P:regulation of intracellular mRNA localization
GO:2000549,10,P:positive regulation of dendritic cell dendrite assembly
GO:2000836,42,P:positive regulation of androgen secretion
GO:0072285,23,P:mesenchymal to epithelial transition involved in metanephric renal vesicle formation
GO:2000826,23,P:regulation of heart morphogenesis
GO:0021910,13,P:smoothened signaling pathway involved in ventral spinal cord patterning
GO:0007371,23,P:ventral midline determination
GO:0009682,23,P:induced systemic resistance
GO:2000338,23,P:regulation of chemokine (C-X-C motif) ligand 1 production
GO:0002238,23,P:response to molecule of fungal origin
GO:0061381,31,P:cell migration in diencephalon
GO:0021855,31,P:hypothalamus cell migration
GO:0061377,23,P:mammary gland lobule development
GO:0021767,23,P:mammillary body development
GO:0061374,23,P:mammillothalamic axonal tract development
GO:0071105,23,P:response to interleukin-11
GO:0021602,23,P:cranial nerve morphogenesis
GO:0014734,28,P:skeletal muscle hypertrophy
GO:0140074,23,P:cardiac endothelial to mesenchymal transition
GO:0006681,4,P:galactosylceramide metabolic process
GO:0072684,23,"P:mitochondrial tRNA 3'-trailer cleavage, endonucleolytic"
GO:0051341,23,P:regulation of oxidoreductase activity
GO:0046986,1,P:negative regulation of hemoglobin biosynthetic process
GO:0045993,29,P:negative regulation of translational initiation by iron
GO:0051886,39,P:negative regulation of timing of anagen
GO:1990550,20,P:mitochondrial alpha-ketoglutarate transmembrane transport
GO:0055024,5,P:regulation of cardiac muscle tissue development
GO:0090135,23,P:actin filament branching
GO:0061090,42,P:positive regulation of sequestering of zinc ion
GO:0140916,23,P:zinc ion import into lysosome
GO:0140917,23,P:zinc ion import into mitochondrion
GO:0140914,23,P:zinc ion import into secretory vesicle
GO:0140915,23,P:zinc ion import into zymogen granule
GO:0003259,23,P:cardioblast anterior-lateral migration
GO:0060975,23,P:cardioblast migration to the midline involved in heart field formation
GO:0042664,9,P:negative regulation of endodermal cell fate specification
GO:0070368,42,P:positive regulation of hepatocyte differentiation
GO:0060921,30,P:sinoatrial node cell differentiation
GO:0003236,23,P:sinus venosus morphogenesis
GO:0060857,23,P:establishment of glial blood-brain barrier
GO:0070625,23,P:zymogen granule exocytosis
GO:1903259,23,P:exon-exon junction complex disassembly
GO:0061620,23,P:glycolytic process through glucose-6-phosphate
GO:0070651,23,P:nonfunctional rRNA decay
GO:0070481,11,"P:nuclear-transcribed mRNA catabolic process, non-stop decay"
GO:0071025,23,P:RNA surveillance
GO:1904356,23,P:regulation of telomere maintenance via telomere lengthening
GO:2000314,45,P:negative regulation of fibroblast growth factor receptor signaling pathway involved in neural plate anterior/posterior pattern formation
GO:0090301,39,P:negative regulation of neural crest formation
GO:2001153,42,P:positive regulation of renal water transport
GO:0002761,23,P:regulation of myeloid leukocyte differentiation
GO:1990739,32,P:granulosa cell proliferation
GO:1904197,32,P:positive regulation of granulosa cell proliferation
GO:0042357,4,P:thiamine diphosphate metabolic process
GO:1904867,8,P:protein localization to Cajal body
GO:0034337,23,P:RNA folding
GO:0090671,23,P:telomerase RNA localization to Cajal body
GO:0032203,23,P:telomere formation via telomerase
GO:0019290,17,P:siderophore biosynthetic process
GO:0051282,41,P:regulation of sequestering of calcium ion
GO:0071629,23,P:cytoplasm protein quality control by the ubiquitin-proteasome system
GO:0018011,16,P:N-terminal peptidyl-alanine methylation
GO:0018012,16,P:N-terminal peptidyl-alanine trimethylation
GO:0018013,16,P:N-terminal peptidyl-glycine methylation
GO:0018016,16,P:N-terminal peptidyl-proline dimethylation
GO:0035568,16,P:N-terminal peptidyl-proline methylation
GO:0035572,16,P:N-terminal peptidyl-serine dimethylation
GO:0035570,16,P:N-terminal peptidyl-serine methylation
GO:0035573,16,P:N-terminal peptidyl-serine trimethylation
GO:1902669,34,P:positive regulation of axon guidance
GO:0044602,23,P:protein deadenylylation
GO:0042219,11,P:cellular modified amino acid catabolic process
GO:2000208,42,P:positive regulation of ribosomal small subunit export from nucleus
GO:0046709,11,P:IDP catabolic process
GO:0070159,7,P:mitochondrial threonyl-tRNA aminoacylation
GO:0002190,23,P:cap-independent translational initiation
GO:0002192,23,P:IRES-dependent translational initiation of linear mRNA
GO:0021547,23,P:midbrain-hindbrain boundary initiation
GO:0021501,23,P:prechordal plate formation
GO:0062000,42,P:positive regulation of cardiac endothelial to mesenchymal transition
GO:1902811,28,P:positive regulation of skeletal muscle fiber differentiation
GO:0002590,25,P:negative regulation of antigen processing and presentation of peptide antigen via MHC class I
GO:0071295,12,P:cellular response to vitamin
GO:0090138,23,P:regulation of actin cytoskeleton organization by cell-cell adhesion
GO:0061143,23,P:alveolar primary septum development
GO:0048520,42,P:positive regulation of behavior
GO:0071939,23,P:vitamin A import into cell
GO:0006668,4,P:sphinganine-1-phosphate metabolic process
GO:0072202,30,P:cell differentiation involved in metanephros development
GO:0060378,23,P:regulation of brood size
GO:0032491,23,P:detection of molecule of fungal origin
GO:1903431,2,P:positive regulation of cell maturation
GO:0051251,42,P:positive regulation of lymphocyte activation
GO:0046490,4,P:isopentenyl diphosphate metabolic process
GO:0015724,23,P:formate transport
GO:0015797,20,P:mannitol transmembrane transport
GO:0009204,11,P:deoxyribonucleoside triphosphate catabolic process
GO:0006193,11,P:ITP catabolic process
GO:1902979,23,P:mitotic DNA replication termination
GO:0046368,4,P:GDP-L-fucose metabolic process
GO:0043112,4,P:receptor metabolic process
GO:0060243,15,P:negative regulation of cell growth involved in contact inhibition
GO:0051957,42,P:positive regulation of amino acid transport
GO:0002577,25,P:regulation of antigen processing and presentation
GO:1903790,20,P:guanine nucleotide transmembrane transport
GO:1902809,28,P:regulation of skeletal muscle fiber differentiation
GO:0019481,11,"P:L-alanine catabolic process, by transamination"
GO:0016119,4,P:carotene metabolic process
GO:0016116,4,P:carotenoid metabolic process
GO:0062172,11,P:lutein catabolic process
GO:1901176,11,P:lycopene catabolic process
GO:0016124,11,P:xanthophyll catabolic process
GO:1901826,11,P:zeaxanthin catabolic process
GO:0090721,35,P:primary adaptive immune response involving T cells and B cells
GO:0097198,23,P:histone H3-K36 trimethylation
GO:1902866,23,P:regulation of retina development in camera-type eye
GO:0032384,39,P:negative regulation of intracellular cholesterol transport
GO:0090155,1,P:negative regulation of sphingolipid biosynthetic process
GO:1901873,23,P:regulation of post-translational protein modification
GO:1904375,8,P:regulation of protein localization to cell periphery
GO:0033342,39,P:negative regulation of collagen binding
GO:0006030,4,P:chitin metabolic process
GO:0007112,23,P:male meiosis cytokinesis
GO:0031064,38,P:negative regulation of histone deacetylation
GO:0002851,35,P:positive regulation of peripheral T cell tolerance induction
GO:0075512,23,P:clathrin-dependent endocytosis of virus by host cell
GO:1904784,43,P:NLRP1 inflammasome complex assembly
GO:0070350,32,P:regulation of white fat cell proliferation
GO:0062208,45,P:positive regulation of pattern recognition receptor signaling pathway
GO:0071788,23,P:endoplasmic reticulum tubular network maintenance
GO:0071678,34,P:olfactory bulb axon guidance
GO:0061757,23,P:leukocyte adhesion to arterial endothelial cell
GO:0015694,41,P:mercury ion transport
GO:1990540,20,P:mitochondrial manganese ion transmembrane transport
GO:0097080,49,P:plasma membrane selenite transport
GO:0070179,17,P:D-serine biosynthetic process
GO:0034972,23,P:histone H3-R26 methylation
GO:0060817,23,P:inactivation of paternal X chromosome
GO:0010966,23,P:regulation of phosphate transport
GO:1903434,39,P:negative regulation of constitutive secretory pathway
GO:1904812,23,P:rRNA acetylation involved in maturation of SSU-rRNA
GO:0051391,23,P:tRNA acetylation
GO:0045911,42,P:positive regulation of DNA recombination
GO:2000173,18,P:negative regulation of branching morphogenesis of a nerve
GO:1904800,39,P:negative regulation of neuron remodeling
GO:0035822,23,P:gene conversion
GO:1990968,23,P:modulation by host of RNA binding by virus
GO:1990969,23,P:modulation by host of viral RNA-binding transcription factor activity
GO:1904439,49,P:negative regulation of iron ion import across plasma membrane
GO:2000619,38,P:negative regulation of histone H4-K16 acetylation
GO:0009583,23,P:detection of light stimulus
GO:2000854,42,P:positive regulation of corticosterone secretion
GO:1905341,27,P:negative regulation of protein localization to kinetochore
GO:2000105,42,P:positive regulation of DNA-templated DNA replication
GO:1903017,42,P:positive regulation of exo-alpha-sialidase activity
GO:0045234,23,P:protein palmitoleylation
GO:0021808,31,P:cytosolic calcium signaling involved in initiation of cell movement in glial-mediated radial cell migration
GO:0150063,23,P:visual system development
GO:0042144,23,"P:vacuole fusion, non-autophagic"
GO:1905433,39,P:negative regulation of retrograde trans-synaptic signaling by neuropeptide
GO:0048174,39,P:negative regulation of short-term neuronal synaptic plasticity
GO:1905415,42,P:positive regulation of dense core granule exocytosis
GO:0150044,23,P:regulation of postsynaptic dense core vesicle exocytosis
GO:0150035,23,"P:regulation of trans-synaptic signaling by BDNF, modulating synaptic transmission"
GO:0097036,49,P:regulation of plasma membrane sterol distribution
GO:1904947,23,P:folate import into mitochondrion
GO:1990548,20,P:mitochondrial FAD transmembrane transport
GO:0106089,15,P:negative regulation of cell adhesion involved in sprouting angiogenesis
GO:1901036,49,P:positive regulation of L-glutamine import across plasma membrane
GO:0033477,4,P:S-methylmethionine metabolic process
GO:0021919,13,P:BMP signaling pathway involved in spinal cord dorsal/ventral patterning
GO:1901256,23,P:regulation of macrophage colony-stimulating factor production
GO:0007499,23,P:ectoderm and mesoderm interaction
GO:0010481,23,P:epidermal cell division
GO:0009229,17,P:thiamine diphosphate biosynthetic process
GO:1903387,42,P:positive regulation of homophilic cell adhesion
GO:0030389,4,P:fructosamine metabolic process
GO:0030393,4,P:fructoselysine metabolic process
GO:0036525,23,P:protein deglycation
GO:0044819,23,P:mitotic G1/S transition checkpoint signaling
GO:1904716,42,P:positive regulation of chaperone-mediated autophagy
GO:0097283,14,P:keratinocyte apoptotic process
GO:1902480,8,P:protein localization to mitotic spindle
GO:1900111,38,P:positive regulation of histone H3-K9 dimethylation
GO:0001100,39,P:negative regulation of exit from mitosis
GO:0060007,23,P:linear vestibuloocular reflex
GO:0002127,23,P:tRNA wobble base cytosine methylation
GO:0003142,23,P:cardiogenic plate morphogenesis
GO:2000043,9,P:regulation of cardiac cell fate specification
GO:0140438,23,P:protein stearoylation
GO:1901202,39,P:negative regulation of extracellular matrix assembly
GO:0061910,23,P:autophagosome-endosome fusion
GO:0060300,23,P:regulation of cytokine activity
GO:0006253,11,P:dCTP catabolic process
GO:0045103,23,P:intermediate filament-based process
GO:0120158,11,P:positive regulation of collagen catabolic process
GO:1902369,11,P:negative regulation of RNA catabolic process
GO:0016095,11,P:polyprenol catabolic process
GO:2000431,23,"P:regulation of cytokinesis, actomyosin contractile ring assembly"
GO:0009256,4,P:10-formyltetrahydrofolate metabolic process
GO:0048213,23,P:Golgi vesicle prefusion complex stabilization
GO:0044281,4,P:small molecule metabolic process
GO:0045686,44,P:negative regulation of glial cell differentiation
GO:1901724,2,P:positive regulation of cell proliferation involved in kidney development
GO:0015864,23,P:pyrimidine nucleoside transport
GO:1900370,42,P:positive regulation of post-transcriptional gene silencing by RNA
GO:1901810,4,P:beta-carotene metabolic process
GO:0035238,17,P:vitamin A biosynthetic process
GO:0060668,18,P:regulation of branching involved in salivary gland morphogenesis by extracellular matrix-epithelial cell signaling
GO:0097497,23,P:blood vessel endothelial cell delamination
GO:0060427,5,P:lung connective tissue development
GO:0036446,23,P:myofibroblast differentiation
GO:0060658,23,P:nipple morphogenesis
GO:0030302,23,P:deoxynucleotide transport
GO:0002815,17,P:biosynthetic process of antibacterial peptides active against Gram-positive bacteria
GO:0032498,23,P:detection of muramyl dipeptide
GO:0006965,17,P:positive regulation of biosynthetic process of antibacterial peptides active against Gram-positive bacteria
GO:0046645,42,P:positive regulation of gamma-delta T cell activation
GO:0032875,23,P:regulation of DNA endoreduplication
GO:0030954,23,P:astral microtubule nucleation
GO:1904456,46,P:negative regulation of neuronal action potential
GO:0006862,23,P:nucleotide transport
GO:0061736,23,P:engulfment of target by autophagosome
GO:0021793,23,P:chemorepulsion of branchiomotor axon
GO:0050923,23,P:regulation of negative chemotaxis
GO:0048319,23,P:axial mesoderm morphogenesis
GO:0006931,31,"P:substrate-dependent cell migration, cell attachment to substrate"
GO:0060262,39,P:negative regulation of N-terminal protein palmitoylation
GO:0021999,23,P:neural plate anterior/posterior regionalization
GO:0140569,23,P:extraction of mislocalized protein from ER membrane
GO:0001717,23,P:conversion of seryl-tRNAsec to selenocys-tRNAsec
GO:0090226,23,P:regulation of microtubule nucleation by Ran protein signal transduction
GO:2000872,42,P:positive regulation of progesterone secretion
GO:0000305,23,P:response to oxygen radical
GO:0033013,4,P:tetrapyrrole metabolic process
GO:1903988,49,P:iron ion export across plasma membrane
GO:0060345,23,P:spleen trabecula formation
GO:0070158,7,P:mitochondrial seryl-tRNA aminoacylation
GO:0015838,23,P:amino-acid betaine transport
GO:1903806,49,P:L-isoleucine import across plasma membrane
GO:1905647,49,P:proline import across plasma membrane
GO:0043417,28,P:negative regulation of skeletal muscle tissue regeneration
GO:0001576,17,P:globoside biosynthetic process
GO:0097168,32,P:mesenchymal stem cell proliferation
GO:0072028,23,P:nephron morphogenesis
GO:0090189,18,P:regulation of branching involved in ureteric bud morphogenesis
GO:0030656,4,P:regulation of vitamin metabolic process
GO:0033037,23,P:polysaccharide localization
GO:0036514,34,P:dopaminergic neuron axon guidance
GO:0036515,34,P:serotonergic neuron axon guidance
GO:0070586,23,P:cell-cell adhesion involved in gastrulation
GO:0097734,23,P:extracellular exosome biogenesis
GO:1990938,23,P:peptidyl-aspartic acid autophosphorylation
GO:2000152,23,P:regulation of ubiquitin-specific protease activity
GO:1903710,20,P:spermine transmembrane transport
GO:1902204,45,P:positive regulation of hepatocyte growth factor receptor signaling pathway
GO:0002787,39,P:negative regulation of antibacterial peptide production
GO:1902572,39,P:negative regulation of serine-type peptidase activity
GO:1903568,27,P:negative regulation of protein localization to ciliary membrane
GO:1905631,12,P:cellular response to glyceraldehyde
GO:2000438,39,P:negative regulation of monocyte extravasation
GO:2000560,42,P:positive regulation of CD24 production
GO:0097380,34,P:dorsal spinal cord interneuron anterior axon guidance
GO:0035262,23,P:gonad morphogenesis
GO:1903301,42,P:positive regulation of hexokinase activity
GO:1902153,23,P:regulation of response to DNA damage checkpoint signaling
GO:0120078,23,P:cell adhesion involved in sprouting angiogenesis
GO:1905580,13,P:positive regulation of ERBB3 signaling pathway
GO:2000493,13,P:negative regulation of interleukin-18-mediated signaling pathway
GO:0048075,42,P:positive regulation of eye pigmentation
GO:0015786,20,P:UDP-glucose transmembrane transport
GO:0006528,4,P:asparagine metabolic process
GO:0000921,23,P:septin ring assembly
GO:0072579,23,P:glycine receptor clustering
GO:0018315,23,P:molybdenum incorporation into molybdenum-molybdopterin complex
GO:0051666,23,P:actin cortical patch localization
GO:0000917,23,P:division septum assembly
GO:0006254,11,P:CTP catabolic process
GO:0046052,11,P:UTP catabolic process
GO:0002264,35,P:endothelial cell activation involved in immune response
GO:0006055,17,P:CMP-N-acetylneuraminate biosynthetic process
GO:1903699,23,P:tarsal gland development
GO:1903709,23,P:uterine gland development
GO:1902350,12,P:cellular response to chloroquine
GO:0033008,37,P:positive regulation of mast cell activation involved in immune response
GO:0006669,17,P:sphinganine-1-phosphate biosynthetic process
GO:0015739,23,P:sialic acid transport
GO:0106289,39,P:negative regulation of deadenylation-dependent decapping of nuclear-transcribed mRNA
GO:0007072,42,P:positive regulation of transcription involved in exit from mitosis
GO:1901836,21,P:regulation of transcription of nucleolar large rRNA by RNA polymerase I
GO:0031445,23,P:regulation of heterochromatin formation
GO:0045967,39,P:negative regulation of growth rate
GO:1903996,40,P:negative regulation of non-membrane spanning protein tyrosine kinase activity
GO:2000984,39,P:negative regulation of ATP citrate synthase activity
GO:0051350,39,P:negative regulation of lyase activity
GO:0035971,23,P:peptidyl-histidine dephosphorylation
GO:0090199,23,P:regulation of release of cytochrome c from mitochondria
GO:0036363,23,P:transforming growth factor beta activation
GO:0042941,23,P:D-alanine transport
GO:0042942,23,P:D-serine transport
GO:0060094,42,"P:positive regulation of synaptic transmission, glycinergic"
GO:0009789,13,P:positive regulation of abscisic acid-activated signaling pathway
GO:1904640,23,P:response to methionine
GO:0031129,23,P:inductive cell-cell signaling
GO:0036153,23,P:triglyceride acyl-chain remodeling
GO:0097281,48,P:immune complex formation
GO:0002383,35,P:immune response in brain or nervous system
GO:1902553,42,P:positive regulation of catalase activity
GO:0003011,28,P:involuntary skeletal muscle contraction
GO:0090481,20,P:pyrimidine nucleotide-sugar transmembrane transport
GO:0019413,17,P:acetate biosynthetic process
GO:0019542,17,P:propionate biosynthetic process
GO:2001125,29,P:negative regulation of translational frameshifting
GO:0075523,23,P:viral translational frameshifting
GO:2000654,12,P:regulation of cellular response to testosterone stimulus
GO:0071602,17,P:phytosphingosine biosynthetic process
GO:0006639,4,P:acylglycerol metabolic process
GO:0046520,17,P:sphingoid biosynthetic process
GO:0060383,42,P:positive regulation of DNA strand elongation
GO:1905774,23,P:regulation of DNA helicase activity
GO:1901292,11,P:nucleoside phosphate catabolic process
GO:0044648,23,P:histone H3-K4 dimethylation
GO:0071863,15,P:regulation of cell proliferation in bone marrow
